#
# Output of gmd.f90: Using MINIMUM distance to solute.
# Input file: gmd.dat.gmdinp
# DCD file: ./trajectory.dcd
# Group file: gmd.dat.gmdtemp
# PSF file: ./structure.psf
# First frame:       1 Last frame:      20 Stride:       1
#
# Periodic boundary conditions: 
# Periodic: T Read from DCD: T
#
# Density of solvent in simulation box (sites/A^3):      0.00030
# Density of solvent in bulk (estimated) (sites/A^3):      0.00031
# Molar volume of solvent in simulation (cc/mol):   2006.52563
# Molar volume of solvent in bulk (estimated) (cc/mol):   1970.50732
#
# Solute partial volume estimate (cc/mol):   6520.51025
#
# Number of atoms and mass of group 1:    1463   11079.626
# First and last atoms of group 1:       1    1463
# Number of atoms and mass of group 2:    2534   13594.912
# First and last atoms of group 2:    1479    4012
#
#
# Average and standard deviation of long range (dbulk-1.) gmd:      1.03770+/-     0.12070
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution). 
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))]. 
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
     0.1587401     0.0000000  -403.6139832     0.0000000     0.2048274     0.0000000     0.2048274    46.9801445
     0.3301927     0.0000000  -0.28349E+04     0.0000000     1.2338524     0.0000000     1.4386798   340.1895447
     0.5192494     0.0000000  -0.68762E+04     0.0000000     2.0508709     0.0000000     3.4895506   906.6168213
     0.7140037     0.0000000  -0.96024E+04     0.0000000     1.3834889     0.0000000     4.8730392   0.15723E+04
     0.9109767     0.0000000  -0.11128E+05     0.0000000     0.7741998     0.0000000     5.6472392   0.20695E+04
     1.1090168     0.0000000  -0.12277E+05     0.0000000     0.5833229     0.0000000     6.2305622   0.24983E+04
     1.3076473     0.0000000  -0.13273E+05     0.0000000     0.5053734     0.0000000     6.7359357   0.25776E+04
     1.5066373     0.0000000  -0.14157E+05     0.0000000     0.4487060     0.0000000     7.1846418   0.23217E+04
     1.7058622     0.8350732  -0.14294E+05     0.3500000     0.4191249     0.3500000     7.6037669   0.19558E+04
     1.9052486     1.1944127  -0.14133E+05     0.5000000     0.4186158     0.8500000     8.0223827   0.16611E+04
     2.1047511     3.5505972  -0.12081E+05     1.4500000     0.4083820     2.3000002     8.4307652   0.14299E+04
     2.3043396     2.1143346  -0.11198E+05     0.8500000     0.4020177     3.1500001     8.8327827   0.13061E+04
     2.5039937     1.8190532  -0.10533E+05     0.7500000     0.4123024     3.9000001     9.2450848   0.13073E+04
