#
# Output of MDDF
# Trajectory files and weights:
#  ../gromacs_files/trajectory.xtc - w = 0.5
#  ../gromacs_files/trajectory.xtc - w = 0.5
#
# Density of solvent in simulation box (sites/A^3):      0.00030
# Density of solvent in bulk (estimated) (sites/A^3):      0.00027
# Molar volume of solvent in simulation (cc/mol):   2035.11046
# Molar volume of solvent in bulk (estimated) (cc/mol):   2255.25907
#
# Number of atoms solute: 12317
# Number of atoms of the solvent: 207
#
#
# Average and standard deviation of bulk-gmd:      1.35602 +/-      0.37353
#
# Average and standard deviation of bulk-gmd:      1.35602 +/-      0.37353
#
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution)
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))].
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation.
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
   0.1587401     0.0000000  -494.4385976     0.0000000     0.2192308     0.0000000     0.2192308    19.4798239
   0.3301927     0.0000000  -3.61275e+03     0.0000000     1.3826923     0.0000000     1.3826923   331.4901989
   0.5192494     0.0000000  -7.77628e+03     0.0000000     1.8461538     0.0000000     1.8461538   806.0985415
   0.7140037     0.0000000  -9.90152e+03     0.0000000     0.9423077     0.0000000     0.9423077   1.31245e+03
   0.9109767     0.0000000  -1.11854e+04     0.0000000     0.5692308     0.0000000     0.5692308   1.67665e+03
   1.1090168     0.0000000  -1.22827e+04     0.0000000     0.4865385     0.0000000     0.4865385   2.03410e+03
   1.3076472     0.0000000  -1.32281e+04     0.0000000     0.4192308     0.0000000     0.4192308   2.02743e+03
   1.5066373     0.0000000  -1.40478e+04     0.0000000     0.3634615     0.0000000     0.3634615   1.63780e+03
   1.7058621     0.2270764  -1.46722e+04     0.0769231     0.3538462     0.0769231     0.3538462   1.50124e+03
   1.9052486     3.1629630  -1.30371e+04     1.0769231     0.3519231     1.0769231     0.3519231   1.25437e+03
   2.1047511    11.4575758  -4.01168e+03     4.3846154     0.3826923     4.3846154     0.3826923   1.18928e+03
   2.3043396    12.5794431   7.08680e+03     5.3461538     0.4250000     5.3461538     0.4250000   1.00728e+03
   2.5039936    11.5861982   1.52491e+04     3.9615385     0.3423077     3.9615385     0.3423077   1.00714e+03
   2.7036986     6.5049580   1.90484e+04     2.0000000     0.3153846     2.0000000     0.3153846   994.3353193
   2.9034442     2.3042334   2.01284e+04     0.8461538     0.3673077     0.8461538     0.3673077   1.00733e+03
   3.1032225     1.9048152   2.08700e+04     0.6923077     0.3634615     0.6923077     0.3634615   1.00724e+03
   3.3030275     1.2970919   2.10564e+04     0.3846154     0.3019231     0.3846154     0.3019231   968.0726688
   3.5028548     0.9114157   2.09783e+04     0.3461538     0.3807692     0.3461538     0.3807692   832.0319086
   3.7027007     1.3936024   2.12949e+04     0.5000000     0.3596154     0.5000000     0.3596154   935.8707449
   3.9025624     0.6842457   2.10130e+04     0.2692308     0.3942308     0.2692308     0.3942308   897.1114446
   4.1024376     1.6254686   2.15118e+04     0.5769231     0.3557692     0.5769231     0.3557692   1.13710e+03
   4.3023243     1.1296608   2.16203e+04     0.4230769     0.3750000     0.4230769     0.3750000   1.17636e+03
   4.5022211     1.2535977   2.18632e+04     0.5384615     0.4307692     0.5384615     0.4307692   1.22805e+03
   4.7021267     2.3042929   2.30819e+04     0.9615385     0.4211538     0.9615385     0.4211538   1.07233e+03
   4.9020400     2.3453881   2.43744e+04     1.0000000     0.4269231     1.0000000     0.4269231   1.08527e+03
   5.1019600     1.8675889   2.52201e+04     0.8076923     0.4326923     0.8076923     0.4326923   1.10452e+03
   5.3018861     1.5147315   2.57188e+04     0.6538462     0.4326923     0.6538462     0.4326923   948.7806975
   5.5018176     1.8183321   2.64995e+04     0.7692308     0.4230769     0.7692308     0.4230769   1.15027e+03
   5.7017538     1.5203136   2.70329e+04     0.6923077     0.4557692     0.6923077     0.4557692   1.18273e+03
   5.9016944     1.7630684   2.77789e+04     0.7692308     0.4384615     0.7692308     0.4384615   1.20880e+03
   6.1016389     1.4669739   2.81650e+04     0.5384615     0.3673077     0.5384615     0.3673077   1.19570e+03
   6.3015869     1.8107303   2.90194e+04     0.8461538     0.4673077     0.8461538     0.4673077   1.32575e+03
   6.5015381     1.5390966   2.96222e+04     0.7692308     0.5019231     0.7692308     0.5019231   1.09841e+03
   6.7014922     1.4550196   3.01079e+04     0.6923077     0.4769231     0.6923077     0.4769231   1.43598e+03
   6.9014490     1.2466650   3.03812e+04     0.6153846     0.4942308     0.6153846     0.4942308   1.29979e+03
   7.1014082     2.0493180   3.14915e+04     0.9615385     0.4692308     0.9615385     0.4692308   1.42337e+03
   7.3013696     2.0050125   3.25323e+04     0.9230769     0.4615385     0.9230769     0.4615385   1.36481e+03
   7.5013331     1.2319481   3.27970e+04     0.6538462     0.5365385     0.6538462     0.5365385   1.39051e+03
   7.7012985     1.2079503   3.30311e+04     0.6538462     0.5500000     0.6538462     0.5500000   1.37141e+03
   7.9012656     1.2321429   3.33087e+04     0.6538462     0.5307692     0.6538462     0.5307692   1.46857e+03
   8.1012344     1.1939970   3.35126e+04     0.5769231     0.4865385     0.5769231     0.4865385   1.59903e+03
   8.3012046     1.5671642   3.41718e+04     0.8076923     0.5153846     0.8076923     0.5153846   1.33217e+03
   8.5011763     1.2278369   3.44450e+04     0.6538462     0.5326923     0.6538462     0.5326923   1.57908e+03
   8.7011493     1.2849492   3.48006e+04     0.7307692     0.5730769     0.7307692     0.5730769   1.45581e+03
   8.9011235     1.6301162   3.55248e+04     0.8461538     0.5250000     0.8461538     0.5250000   1.59841e+03
   9.1010988     1.4064351   3.60235e+04     0.7692308     0.5480769     0.7692308     0.5480769   1.65723e+03
   9.3010751     1.9121782   3.70991e+04     1.0000000     0.5230769     1.0000000     0.5230769   1.50742e+03
   9.5010525     1.0011123   3.70992e+04     0.5769231     0.5769231     0.5769231     0.5769231   1.67675e+03
   9.7010308     0.9407001   3.70254e+04     0.5000000     0.5326923     0.5000000     0.5326923   1.74161e+03
   9.9010100     1.2455834   3.73377e+04     0.7307692     0.5923077     0.7307692     0.5923077   1.54694e+03
