#
# Output of gmd.f90: Using MINIMUM distance to solute.
# Input file: gmd-water.dat.gmdinp
# DCD file: ./trajectory.dcd
# Group file: gmd-water.dat.gmdtemp
# PSF file: ./structure.psf
# First frame:       1 Last frame:      20 Stride:       1
#
# Periodic boundary conditions: 
# Periodic: T Read from DCD: T
#
# Density of solvent in simulation box (sites/A^3):      0.03207
# Density of solvent in bulk (estimated) (sites/A^3):      0.03278
# Molar volume of solvent in simulation (cc/mol):     18.78070
# Molar volume of solvent in bulk (estimated) (cc/mol):     18.37122
#
# Solute partial volume estimate (cc/mol):   7919.64648
#
# Number of atoms and mass of group 1:    1463   11079.626
# First and last atoms of group 1:       1    1463
# Number of atoms and mass of group 2:   58014  348424.250
# First and last atoms of group 2:    4013   62026
#
#
# Average and standard deviation of long range (dbulk-1.) gmd:      1.02890+/-     0.00420
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution). 
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))]. 
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
     0.1587401     0.0000000   -87.8144455     0.0000000     4.7800002     0.0000000     4.7800002    48.9623070
     0.3301927     0.0000000  -672.2030029     0.0000000    31.8100014     0.0000000    36.5900002   341.9565125
     0.5192494     0.0000000  -0.20547E+04     0.0000000    75.2550049     0.0000000   111.8450012   925.1381226
     0.7140037     0.0000000  -0.37321E+04     0.0000000    91.3050079     0.0000000   203.1500092   0.15796E+04
     0.9109767     0.0000000  -0.53665E+04     0.0000000    88.9650040     0.0000000   292.1150208   0.20906E+04
     1.1090168     0.0000000  -0.69022E+04     0.0000000    83.5900040     0.0000000   375.7050171   0.24350E+04
     1.3076473     0.0000000  -0.82185E+04     0.0000000    71.6550064     0.0000000   447.3600159   0.26054E+04
     1.5066373     0.0588083  -0.92182E+04     3.4000001    57.8150024     3.4000001   505.1750183   0.23348E+04
     1.7058622     1.3262922  -0.89231E+04    65.3000031    49.2350044    68.7000046   554.4100342   0.19696E+04
     1.9052486     1.9600582  -0.81371E+04    87.3499985    44.5650024   156.0500031   598.9750366   0.16398E+04
     2.1047511     1.3324678  -0.78783E+04    56.4500008    42.3650017   212.5000000   641.3400269   0.14466E+04
     2.3043396     1.1416148  -0.77736E+04    45.9500008    40.2500038   258.4500122   681.5900269   0.13257E+04
     2.5039937     1.3137865  -0.75426E+04    52.6500015    40.0750046   311.1000061   721.6650391   0.12774E+04
     2.7036989     1.2607268  -0.73528E+04    49.9500008    39.6200027   361.0500183   761.2850342   0.12613E+04
     2.9034443     1.0982220  -0.72813E+04    43.5499992    39.6550026   404.6000061   800.9400635   0.12244E+04
     3.1032224     1.0138713  -0.72711E+04    40.2000008    39.6500015   444.8000183   840.5900879   0.12407E+04
     3.3030276     0.9251210  -0.73265E+04    37.2500000    40.2650032   482.0500183   880.8551025   0.12030E+04
     3.5028548     0.9309571  -0.73774E+04    37.3500023    40.1200027   519.4000244   920.9750977   0.12194E+04
     3.7027009     0.9936600  -0.73822E+04    40.7500000    41.0100021   560.1500244   961.9851074   0.12485E+04
     3.9025624     1.0135376  -0.73718E+04    42.2999992    41.7350044   602.4500122   0.10037E+04   0.12368E+04
     4.1024375     1.0639569  -0.73227E+04    44.5000000    41.8250046   646.9500122   0.10455E+04   0.12755E+04
     4.3023248     1.0083022  -0.73163E+04    41.9000015    41.5550041   688.8500366   0.10871E+04   0.12796E+04
     4.5022211     1.0196171  -0.73010E+04    43.4000015    42.5650024   732.2500610   0.11297E+04   0.12722E+04
     4.7021265     0.9719474  -0.73231E+04    41.7500000    42.9550018   774.0000610   0.11726E+04   0.13304E+04
     4.9020400     0.9751874  -0.73429E+04    42.2500000    43.3250046   816.2500610   0.12159E+04   0.13223E+04
     5.1019597     0.9825997  -0.73569E+04    43.2000008    43.9650040   859.4500732   0.12599E+04   0.13410E+04
     5.3018866     0.9751412  -0.73771E+04    43.1500015    44.2500038   902.6000977   0.13042E+04   0.13700E+04
     5.5018177     0.9997824  -0.73773E+04    45.9500008    45.9600029   948.5501099   0.13501E+04   0.13764E+04
     5.7017536     1.0300064  -0.73514E+04    48.4000015    46.9900017   996.9501343   0.13971E+04   0.13636E+04
     5.9016948     1.0400599  -0.73171E+04    48.5499992    46.6800041   0.10455E+04   0.14438E+04   0.14316E+04
     6.1016388     1.0415329  -0.72814E+04    48.6500015    46.7100029   0.10942E+04   0.14905E+04   0.14099E+04
     6.3015871     1.0308182  -0.72548E+04    48.5000000    47.0500031   0.11427E+04   0.15375E+04   0.14353E+04
     6.5015383     1.0859681  -0.71784E+04    52.5499992    48.3900032   0.11952E+04   0.15859E+04   0.14798E+04
     6.7014923     1.0233502  -0.71572E+04    50.4000015    49.2500038   0.12456E+04   0.16352E+04   0.14934E+04
     6.9014492     1.0326784  -0.71268E+04    52.2999992    50.6450043   0.12979E+04   0.16858E+04   0.15041E+04
     7.1014080     0.9273917  -0.71951E+04    47.4500008    51.1650047   0.13454E+04   0.17370E+04   0.15236E+04
     7.3013697     1.0595318  -0.71388E+04    54.5499992    51.4850044   0.13999E+04   0.17885E+04   0.15615E+04
     7.5013332     1.0587788  -0.70819E+04    55.7500000    52.6550026   0.14557E+04   0.18411E+04   0.15726E+04
     7.7012982     1.0087508  -0.70736E+04    52.4500008    51.9950027   0.15081E+04   0.18931E+04   0.15838E+04
     7.9012656     0.9551800  -0.71184E+04    52.0000000    54.4400024   0.15601E+04   0.19476E+04   0.16279E+04
     8.1012344     1.0281804  -0.70896E+04    57.1000023    55.5350037   0.16172E+04   0.20031E+04   0.16917E+04
     8.3012047     1.0396343  -0.70482E+04    59.1500015    56.8950043   0.16764E+04   0.20600E+04   0.17057E+04
     8.5011768     1.0198652  -0.70276E+04    57.5000000    56.3800049   0.17339E+04   0.21164E+04   0.17321E+04
     8.7011490     1.0455953  -0.69803E+04    59.0499992    56.4750023   0.17929E+04   0.21729E+04   0.17115E+04
     8.9011240     1.0201950  -0.69590E+04    58.6000023    57.4400024   0.18515E+04   0.22303E+04   0.17495E+04
     9.1010990     1.0431106  -0.69122E+04    61.7000008    59.1500053   0.19132E+04   0.22894E+04   0.17798E+04
