#
# Output of MDDF
# Trajectory files and weights:
#  /home/leandro/Drive/Alunos/Ivan/PCCP_revision/6Mnative.dcd - w = 1.0
#
# Density of solvent in simulation box (sites/A^3):      0.02203
# Density of solvent in bulk (estimated) (sites/A^3):      0.04667
# Molar volume of solvent in simulation (cc/mol):     27.34161
# Molar volume of solvent in bulk (estimated) (cc/mol):     12.90442
#
# Number of atoms solute: 46187
# Number of atoms of the solvent: 37
#
#
# Average and standard deviation of bulk-gmd:      0.48457 +/-      0.10334
#
# Average and standard deviation of bulk-gmd:      0.48457 +/-      0.10334
#
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution)
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))].
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation.
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
   0.0158740     0.0000000    -0.2715317     0.0000000     0.0105000     0.0000000     0.0105000     0.2043193
   0.0330193     0.0000000    -1.9653724     0.0000000     0.0655000     0.0000000     0.0655000     1.1804276
   0.0519249     0.0000000    -7.1761953     0.0000000     3.2015000     0.0000000     3.2015000    12.1217079
   0.0714004     0.0000000   -17.0677077     0.0000000     5.3825000     0.0000000     5.3825000    18.9660250
   0.0910977     0.0000000   -33.6699324     0.0000000     5.6420000     0.0000000     5.6420000    13.7453849
   0.1109017     0.0000000   -57.3966322     0.0000000     9.9175000     0.0000000     9.9175000    36.7863415
   0.1307647     0.0000000   -90.9501939     0.0000000    17.2975000     0.0000000    17.2975000    47.0810988
   0.1506637     0.0000000  -136.4640811     0.0000000    21.7600000     0.0000000    21.7600000    53.6406549
   0.1705862     0.0000000  -194.0546644     0.0000000    25.2270000     0.0000000    25.2270000    69.5100261
   0.1905249     0.0000000  -265.7261067     0.0000000    19.7715000     0.0000000    19.7715000    70.7097573
   0.2104751     0.0000000  -350.1336793     0.0000000    31.2640000     0.0000000    31.2640000    96.3865260
   0.2304340     0.0000000  -455.4879840     0.0000000    45.0740000     0.0000000    45.0740000    97.8862854
   0.2503994     0.0000000  -578.6211510     0.0000000    57.7615000     0.0000000    57.7615000   197.1200506
   0.2703699     0.0000000  -716.7014922     0.0000000    54.3395000     0.0000000    54.3395000   154.3878803
   0.2903444     0.0000000  -877.1638047     0.0000000    54.2050000     0.0000000    54.2050000   176.7916914
   0.3103222     0.0000000  -1.06227e+03     0.0000000    62.1580000     0.0000000    62.1580000   198.3009212
