#
# Output of ComplexMixtures - MDDF
# Trajectory files and weights:
#  ../../test/data/NAMD/trajectory.dcd - w = 1.0
#
# Density of solvent in simulation box (sites/A^3):      0.00030013
# Density of solvent in bulk (estimated) (sites/A^3):      0.00030604
# Molar volume of solvent in simulation (cc/mol):   2006.52574233
# Molar volume of solvent in bulk (estimated) (cc/mol):   1967.79288394
#
# Number of atoms solute: 14639
# Number of atoms of the solvent: 149
#
#
# Average and standard deviation of bulk-gmd:      1.03191 +/-      0.29305
#
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution)
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))].
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation.
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
     0.1587401     0.0000000  -301.0332457     0.0000000     0.1529801     0.0000000     0.1529801    49.8989171
     0.3301927     0.0000000  -2.84371e+03     0.0000000     1.2921476     0.0000000     1.2921476   266.3725007
     0.5192494     0.0000000  -7.01018e+03     0.0000000     2.1173284     0.0000000     2.1173284   699.3141450
     0.7140037     0.0000000  -9.63939e+03     0.0000000     1.3361242     0.0000000     1.3361242   1.68260e+03
     0.9109767     0.0000000  -1.13875e+04     0.0000000     0.8883764     0.0000000     0.8883764   2.08229e+03
     1.1090168     0.0000000  -1.25190e+04     0.0000000     0.5749896     0.0000000     0.5749896   2.86600e+03
     1.3076472     0.0000000  -1.34707e+04     0.0000000     0.4836444     0.0000000     0.4836444   2.49903e+03
     1.5066373     0.0000000  -1.43233e+04     0.0000000     0.4332904     0.0000000     0.4332904   2.39852e+03
     1.7058621     1.0728788  -1.42765e+04     0.3500000     0.3262251     0.3500000     0.3262251   1.74971e+03
     1.9052486     1.2906551  -1.40550e+04     0.5000000     0.3874002     0.5000000     0.3874002   1.83271e+03
     2.1047511     3.5472070  -1.20061e+04     1.4500000     0.4087723     1.4500000     0.4087723   1.44935e+03
     2.3043396     1.8477545  -1.12386e+04     0.8500000     0.4600178     0.8500000     0.4600178   1.28275e+03
     2.5039936     1.8941162  -1.05420e+04     0.7500000     0.3959630     0.7500000     0.3959630   1.49932e+03
     2.7036986     1.9821068  -9.76197e+03     0.8000000     0.4036109     0.8000000     0.4036109   1.08317e+03
     2.9034442     1.5666124  -9.33494e+03     0.6000000     0.3829920     0.6000000     0.3829920   1.38252e+03
     3.1032225     1.3801159  -9.06395e+03     0.5000000     0.3622884     0.5000000     0.3622884   1.16595e+03
     3.3030275     0.8606518  -9.19139e+03     0.4000000     0.4647640     0.4000000     0.4647640   1.01605e+03
     3.5028548     1.4332578  -8.83449e+03     0.6000000     0.4186267     0.6000000     0.4186267   1.01622e+03
     3.7027007     0.7980084  -9.00882e+03     0.3500000     0.4385919     0.3500000     0.4385919   1.16657e+03
     3.9025624     0.5924060  -9.48268e+03     0.3500000     0.5908110     0.3500000     0.5908110   1.19908e+03
     4.1024376     1.4923989  -9.09314e+03     0.6000000     0.4020373     0.6000000     0.4020373   1.21621e+03
     4.3023243     1.7752072  -8.49162e+03     0.7000000     0.3943202     0.7000000     0.3943202   1.33332e+03
     4.5022211     0.8617270  -8.61792e+03     0.4000000     0.4641842     0.4000000     0.4641842   1.49939e+03
     4.7021267     1.2426344  -8.40660e+03     0.5500000     0.4426081     0.5500000     0.4426081   1.16649e+03
     4.9020400     1.3377192  -8.08369e+03     0.6500000     0.4859017     0.6500000     0.4859017   1.19977e+03
     5.1019600     1.1779525  -7.90532e+03     0.6000000     0.5093584     0.6000000     0.5093584   1.34892e+03
     5.3018861     2.0895413  -6.93057e+03     0.9500000     0.4546452     0.9500000     0.4546452   1.48317e+03
