#
# Output of gmd.f90: Using MINIMUM distance to solute.
# Input file: gmd.dat.gmdinp
# DCD file: ./trajectory.dcd
# Group file: gmd.dat.gmdtemp
# PSF file: ./structure.psf
# First frame:       1 Last frame:      20 Stride:       1
#
# Periodic boundary conditions: 
# Periodic: T Read from DCD: T
#
# Density of solvent in simulation box (sites/A^3):      0.00030
# Density of solvent in bulk (estimated) (sites/A^3):      0.00031
# Molar volume of solvent in simulation (cc/mol):   2006.52563
# Molar volume of solvent in bulk (estimated) (cc/mol):   1968.93677
#
# Solute partial volume estimate (cc/mol):   6804.78320
#
# Number of atoms and mass of group 1:    1463   11079.626
# First and last atoms of group 1:       1    1463
# Number of atoms and mass of group 2:    2534   13594.912
# First and last atoms of group 2:    1479    4012
#
#
# Average and standard deviation of long range (dbulk-1.) gmd:      1.05403+/-     0.09547
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution). 
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))]. 
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
     0.1587401     0.0000000  -344.5639648     0.0000000     0.1750000     0.0000000     0.1750000    66.6385040
     0.3301927     0.0000000  -0.27073E+04     0.0000000     1.2000000     0.0000000     1.3750000   249.8943634
     0.5192494     0.0000000  -0.67830E+04     0.0000000     2.0700002     0.0000000     3.4450002   966.2583008
     0.7140037     0.0000000  -0.93623E+04     0.0000000     1.3100001     0.0000000     4.7550001   0.16660E+04
     0.9109767     0.0000000  -0.10849E+05     0.0000000     0.7550001     0.0000000     5.5100002   0.17992E+04
     1.1090168     0.0000000  -0.12198E+05     0.0000000     0.6850001     0.0000000     6.1950002   0.22157E+04
     1.3076473     0.0000000  -0.13349E+05     0.0000000     0.5850000     0.0000000     6.7800002   0.27488E+04
     1.5066373     0.0000000  -0.14058E+05     0.0000000     0.3600000     0.0000000     7.1400003   0.24156E+04
     1.7058622     1.0144926  -0.14048E+05     0.3500000     0.3450000     0.3500000     7.4850006   0.19992E+04
     1.9052486     1.2499999  -0.13851E+05     0.5000000     0.4000000     0.8500000     7.8850007   0.18492E+04
     2.1047511     3.9726024  -0.11715E+05     1.4500000     0.3650000     2.3000002     8.2500010   0.16160E+04
     2.3043396     2.0731707  -0.10849E+05     0.8500000     0.4100000     3.1500001     8.6600008   0.13661E+04
     2.5039937     1.7441859  -0.10219E+05     0.7500000     0.4300000     3.9000001     9.0900011   0.12328E+04
     2.7036989     2.0512819  -0.94115E+04     0.8000000     0.3900000     4.7000003     9.4800014   0.15160E+04
     2.9034443     1.3636364  -0.90965E+04     0.6000000     0.4400000     5.3000002     9.9200010   0.13994E+04
     3.1032224     1.1494251  -0.89685E+04     0.5000000     0.4350000     5.8000002    10.3550014   0.11329E+04
     3.3030276     1.0526315  -0.89291E+04     0.4000000     0.3800000     6.2000003    10.7350016   0.11662E+04
     3.5028548     1.4117646  -0.85846E+04     0.6000000     0.4250000     6.8000002    11.1600018   0.10496E+04
     3.7027009     0.9459459  -0.86239E+04     0.3500000     0.3700000     7.1500001    11.5300016   916.2792969
     3.9025624     0.8139534  -0.87815E+04     0.3500000     0.4300000     7.5000000    11.9600019   0.13328E+04
     4.1024375     1.3043478  -0.85058E+04     0.6000000     0.4600000     8.1000004    12.4200020   0.11329E+04
     4.3023248     1.5053762  -0.80431E+04     0.7000000     0.4650000     8.8000002    12.8850021   0.13161E+04
     4.5022211     1.0126581  -0.80333E+04     0.4000000     0.3950000     9.1999998    13.2800026   0.14327E+04
     4.7021265     1.1458333  -0.78954E+04     0.5500000     0.4800000     9.7500000    13.7600021   0.13994E+04
     4.9020400     1.3131313  -0.75903E+04     0.6500000     0.4950000    10.3999996    14.2550020   0.12828E+04
     5.1019597     1.2903225  -0.73244E+04     0.6000000     0.4650000    11.0000000    14.7200022   0.13994E+04
     5.3018866     2.2619047  -0.62809E+04     0.9500000     0.4200000    11.9499998    15.1400023   0.12828E+04
     5.5018177     1.2149533  -0.60545E+04     0.6500000     0.5350000    12.5999994    15.6750021   0.11329E+04
     5.7017536     0.9174312  -0.61431E+04     0.5000000     0.5450000    13.0999994    16.2200012   0.13827E+04
     5.9016948     0.8333333  -0.62809E+04     0.3500000     0.4200000    13.4499998    16.6400013   0.14327E+04
     6.1016388     1.7441859  -0.56509E+04     0.7500000     0.4300000    14.1999998    17.0700016   0.15493E+04
     6.3015871     1.0344827  -0.56213E+04     0.4500000     0.4350000    14.6499996    17.5050011   0.14494E+04
     6.5015383     1.2380952  -0.53752E+04     0.6500000     0.5250000    15.2999992    18.0300007   0.13827E+04
     6.7014923     1.1475409  -0.51980E+04     0.7000000     0.6100000    15.9999990    18.6400013   0.15827E+04
     6.9014492     0.8490566  -0.53555E+04     0.4500000     0.5300000    16.4499989    19.1700020   0.16160E+04
     7.1014080     1.4018691  -0.49322E+04     0.7500000     0.5350000    17.1999989    19.7050018   0.17159E+04
     7.3013697     0.7407407  -0.52078E+04     0.4000000     0.5400000    17.5999985    20.2450027   0.13661E+04
     7.5013332     1.2871287  -0.49223E+04     0.6500000     0.5050001    18.2499981    20.7500019   0.16993E+04
     7.7012982     1.0752687  -0.48534E+04     0.5000000     0.4650000    18.7499981    21.2150021   0.13994E+04
     7.9012656     0.8571428  -0.50011E+04     0.4500000     0.5250000    19.1999989    21.7400017   0.16326E+04
     8.1012344     0.7377049  -0.53161E+04     0.4500000     0.6100000    19.6499996    22.3500023   0.18825E+04
     8.3012047     1.0891088  -0.52275E+04     0.5500000     0.5050001    20.1999989    22.8550014   0.16493E+04
